location,reproduction_rate,new_vaccinations_smoothed,new_vaccinations_smoothed_per_million,stringency_index,population_density,diabetes_prevalence,kmeans_cluster
Bangladesh,1.0153846153846153,330903.16102470265,1932.9752973467523,52.14299212598426,1265.036,8.38,0
China,1.0477509293680298,4440022.269720102,3113.8486005089057,74.5150139275766,147.674,9.74,0
India,1.035478515625,2066690.1722846443,1458.2968164794008,60.822504835589946,450.41900000000004,10.39,0
Malta,0.9960295566502463,1340.841796875,2514.3115234375,41.7587512195122,1454.037,8.83,0
Mauritius,0.5482755203171458,2856.050218340611,2197.947598253275,36.28491176470588,622.962,22.02,0
