location,reproduction_rate,new_vaccinations_smoothed,new_vaccinations_smoothed_per_million,stringency_index,population_density,diabetes_prevalence,kmeans_cluster
Ghana,0.9509683794466403,30026.092614302463,896.9941383352872,45.08270611057226,126.719,4.97,1
Greece,1.0374634146341464,19967.385026737968,1922.7201426024953,54.976606118546854,83.479,4.55,1
Haiti,0.9222554067971163,965.5262390670555,83.34839650145773,45.03487335359676,398.448,6.65,1
Hungary,1.0798131760078662,23677.536827195465,2375.3909348441925,38.45716346153846,108.043,7.549999999999999,1
Iceland,0.9515399610136454,1763.431718061674,4728.9118942731275,31.609827915869978,3.404,5.31,1
Indonesia,1.0380547409579668,428936.58181818185,1556.8583732057416,56.560213178294575,145.725,6.32,1
Iran,1.0218731988472622,152269.63858961803,1719.6552399608227,62.05711556829036,49.831,9.59,1
Ireland,1.05501953125,11435.561151079137,2276.612538540596,44.842044573643406,69.874,3.2799999999999994,1
Israel,1.0573268292682927,21610.502309468822,2287.065819861432,44.78977207977208,402.606,6.74,1
Italy,1.0682854406130269,137204.31119544592,2324.0237191650854,54.15575238095238,205.85899999999998,4.78,1
Kazakhstan,0.9531521739130435,52755.69696969697,2719.6717171717173,53.99422630560928,6.681,7.11,1
Kenya,1.0176318407960199,31257.52700922266,578.5204216073781,54.12222115384615,87.324,2.92,1
Kyrgyzstan,0.8819563058589871,4086.175615212528,616.261744966443,47.80617878192534,32.333,7.11,1
Laos,1.0274313408723748,21629.234375,2872.60546875,53.21175487465181,29.715,4.0,1
Latvia,1.052229862475442,4957.940068493151,2679.029109589041,37.03984732824427,31.212000000000003,4.91,1
Lithuania,1.0343336623889439,4104.116651825468,1492.3722172751557,37.97506304558681,45.135,3.67,1
Luxembourg,1.0777375122428992,1682.9424724602204,2598.7392900856794,39.29525214081827,231.447,4.42,1
Malawi,0.9584453781512604,9236.57654723127,452.6069489685125,41.25450980392157,197.519,3.94,1
Malaysia,1.0442079689018464,68225.45727699531,2010.2901408450705,50.03842007434944,96.254,16.74,1
Mexico,1.0249901960784316,339316.7239263804,2661.1886503067485,43.99120437956205,66.444,13.06,1
Moldova,0.9762561576354679,2435.33085106383,744.0765957446808,43.151063414634145,123.65500000000002,5.72,1
Mongolia,0.8896774193548387,12212.91111111111,3593.76,41.681237218813905,1.98,4.82,1
Morocco,1.0310826771653543,66420.5466507177,1773.1937799043062,55.41350563909775,80.08,7.139999999999999,1
Mozambique,0.9401138716356108,41291.11688311688,1252.2160566706023,46.52047992164544,37.728,3.3,1
Myanmar,0.9773684210526317,99715.2166488794,1840.6969050160085,67.78246305418719,81.721,4.61,1
Nepal,1.0120721649484536,60797.959262851604,1990.3326867119301,52.22662628145386,204.43,7.26,1
Norway,1.0388565891472867,17073.070323488046,3141.690576652602,37.22813461538462,14.462,5.31,1
Pakistan,0.9649169110459433,335937.9300492611,1424.5054187192118,54.79736486486487,255.573,8.35,1
Panama,0.9973405299313053,10563.434679334916,2396.1199524940616,52.44068400770713,55.133,8.33,1
Paraguay,0.8421834496510469,12030.095179233622,1774.1495673671197,45.87286814244466,17.144,8.27,1
Portugal,1.031258536585366,29009.268242548816,2824.4121274409044,45.716772030651335,112.37099999999998,9.85,1
Romania,0.949892578125,31689.82109227872,1611.868173258004,46.49606589147287,85.129,9.74,1
Russia,1.046199804113614,184563.5458128079,1275.3428571428572,43.12098848368522,8.823,6.18,1
Seychelles,0.7327924944812362,275.6634146341463,2573.040243902439,47.913286788399574,208.354,10.55,1
